,address,artists,city,county,full_address,id,images,latitude,longitude,notes,state,neighborhood
309,7892 Chrysler Drive,SHEEFY MCFLY,Detroit,Wayne County,"Russell Street, Detroit, MI, USA",m0139,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0139.jpg,42.378455,-83.062162,,Michigan,Milwaukee Junction
310,125 Winder Street,"CANNON DILL', 'BRETT FLANIGAN",Detroit,Wayne County,"Winder Street, Detroit, MI, USA",m0185,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0185.jpg,42.341619,-83.05127,Painted in 2013,Michigan,Sports Center
311,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0603,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0603.jpg,42.398649,-83.164515,,Michigan,Detroit
312,5244 Cass Avenue,"BECKY NIX', 'OLEK ZEMPLINSKI",Detroit,Wayne County,"Cass Avenue, Detroit, MI, USA",m0597,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0597.jpg,42.358963,-83.068361,"""Our proposal, Reflector, provides a gateway, an in-between, and a visually interactive experience as one moves through the viaduct. We approach the project as a means to capture and reflect the light from those who offer it up to the viaduct. For those passing through, perhaps that provides a moment of thought, intrigue, contemplation, or simply an interesting place to move through or between."" - Artist Statement",Michigan,Wayne State
313,1801 Division Street,SINTEX,Detroit,Wayne County,"Division Street, Detroit, MI, USA",m0151,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0151.jpg,42.348464,-83.037826,,Michigan,Eastern Market
314,1801 Division Street,KASHINK,Detroit,Wayne County,"Division Street, Detroit, MI, USA",m0160,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0160.jpg,42.348464,-83.037826,,Michigan,Eastern Market
315,2315 Orleans Street,LAUREN YS,Detroit,Wayne County,"Jay Street, Detroit, MI, USA",m0207,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0207.jpg,42.345516,-83.036413,,Michigan,Lafayette Park
316,1801 Division Street,"SHAINA KASZTELAN', 'HEIDI BARLOW",Detroit,Wayne County,"Division Street, Detroit, MI, USA",m0138,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0138.jpg,42.348464,-83.037826,,Michigan,Eastern Market
317,Michigan Third Street Park 3rd Avenue,JEN BOYAK,Detroit,Wayne County,"Bagley Street, Detroit, MI, USA",m0107,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0107.jpg,42.331941,-83.058773,,Michigan,Downtown Detroit
318,1573 Adelaide Street,"BMIKE', 'RICK WILLIAMS",Detroit,Wayne County,"1573 Adelaide St, Detroit, MI, USA",m0277,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0277.jpg,42.34783,-83.037822,,Michigan,Eastern Market
319,8031 Dix Street,SUMMER IN THE CITY,Detroit,Wayne County,"Dix Avenue, Detroit, MI, USA",m0530,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0530.jpg,42.316904,-83.13249,,Michigan,Springwells Village
320,2120 Orleans Street,unknown,Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0201,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0201.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
321,14864 Mendota Street,VICTOR REYES,Detroit,Wayne County,"Detroit, MI, USA",m0165,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0165.jpg,42.398649,-83.164515,,Michigan,Detroit
322,14864 Mendota Street,SINTEX,Detroit,Wayne County,"Detroit, MI, USA",m0380,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0380.jpg,42.398649,-83.164515,,Michigan,Detroit
323,2940 Woodward Avenue,GONZO STROSS,Detroit,Wayne County,"2940 Woodward Avenue, Detroit, MI, USA",m0359,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0359.jpg,42.344564,-83.055486,,Michigan,Midtown
